#      wavelength (Angstrom)  Normalized Flux (Dimensionless)
       4436.9907     0.986093
       4437.0203     0.967278
       4437.0499     0.993515
       4437.0795     0.996017
       4437.1091      1.04070
       4437.1387      1.01662
       4437.1683      1.02701
       4437.1979      1.02326
       4437.2275      1.06875
       4437.2571      1.09170
       4437.2867      1.06803
       4437.3163      1.02253
       4437.3459      1.03020
       4437.3755      1.04002
       4437.4051      1.02278
       4437.4347      1.02326
       4437.4643      1.02862
       4437.4939      1.00879
       4437.5235      1.00162
       4437.5531      1.01980
       4437.5827      1.01474
       4437.6123      1.01899
       4437.6419      1.00869
       4437.6715     0.999008
       4437.7011      1.01652
       4437.7307      1.01870
       4437.7604     0.940126
       4437.7900     0.872381
       4437.8196     0.891439
       4437.8492     0.812857
       4437.8788     0.751594
       4437.9084     0.731070
       4437.9380     0.704825
       4437.9676     0.655955
       4437.9972     0.604189
       4438.0268     0.558177
       4438.0564     0.514523
       4438.0860     0.491949
       4438.1156     0.482963
       4438.1452     0.425543
       4438.1748     0.384702
       4438.2045     0.416992
       4438.2341     0.397980
       4438.2637     0.332301
       4438.2933     0.304429
       4438.3229     0.309540
       4438.3525     0.263389
       4438.3821     0.263683
       4438.4117     0.299889
       4438.4413     0.294643
       4438.4709     0.324645
       4438.5006     0.343227
       4438.5302     0.300603
       4438.5598     0.282713
       4438.5894     0.290558
       4438.6190     0.297599
       4438.6486     0.309269
       4438.6782     0.311720
       4438.7078     0.333269
       4438.7374     0.341587
       4438.7671     0.313391
       4438.7967     0.284585
       4438.8263     0.301285
       4438.8559     0.361612
       4438.8855     0.352815
       4438.9151     0.315862
       4438.9447     0.360870
       4438.9743     0.346217
       4439.0040     0.339924
       4439.0336     0.299179
       4439.0632     0.269187
       4439.0928     0.296207
       4439.1224     0.310889
       4439.1520     0.342767
       4439.1816     0.298709
       4439.2113     0.236677
       4439.2409     0.252850
       4439.2705     0.256033
       4439.3001     0.254247
       4439.3297     0.264686
       4439.3593     0.271939
       4439.3890     0.267940
       4439.4186     0.261176
       4439.4482     0.269071
       4439.4778     0.280646
       4439.5074     0.300011
       4439.5370     0.337442
       4439.5667     0.343664
       4439.5963     0.331794
       4439.6259     0.356395
       4439.6555     0.414813
       4439.6851     0.509331
       4439.7147     0.579746
       4439.7444     0.609183
       4439.7740     0.638777
       4439.8036     0.671763
       4439.8332     0.677172
       4439.8628     0.717680
       4439.8925     0.747921
       4439.9221     0.807624
       4439.9517     0.869622
       4439.9813     0.896661
       4440.0109     0.888173
       4440.0406     0.905460
       4440.0702     0.917402
       4440.0998     0.940934
       4440.1294     0.938397
       4440.1590     0.931900
       4440.1887     0.963689
       4440.2183     0.992222
       4440.2479      1.00654
       4440.2775      1.01034
       4440.3072     0.984346
       4440.3368     0.948769
       4440.3664     0.947351
       4440.3960     0.985616
       4440.4257      1.03212
       4440.4553      1.03176
       4440.4849     0.992356
       4440.5145     0.969053
       4440.5441     0.966222
       4440.5738     0.935198
       4440.6034     0.947695
       4440.6330     0.928443
       4440.6626     0.946208
       4440.6923     0.906896
       4440.7219     0.982992
       4440.7515     0.942078
       4440.7811     0.909134
       4440.8108     0.954611
       4440.8404     0.959235
       4440.8700     0.943882
       4440.8996     0.932161
       4440.9293     0.927958
       4440.9589     0.945627
       4440.9885     0.953106
       4441.0182     0.953170
       4441.0478     0.988567
       4441.0774      1.01589
       4441.1070     0.985873
       4441.1367     0.971572
       4441.1663      1.01953
       4441.1959      1.06447
       4441.2256      1.04511
       4441.2552      1.02413
       4441.2848      1.00511
       4441.3144     0.975330
       4441.3441     0.999559
       4441.3737      1.02067
       4441.4033      1.04866
       4441.4330      1.08488
       4441.4626      1.06254
       4441.4922      1.03348
       4441.5218     0.988516
       4441.5515      1.02547
       4441.5811      1.01139
       4441.6107      1.00726
       4441.6404      1.02156
       4441.6700      1.01013
       4441.6996     0.971990
       4441.7293     0.965241
       4441.7589     0.988981
       4441.7885     0.980511
       4441.8182     0.948600
       4441.8478     0.936093
       4441.8774     0.930494
       4441.9071     0.907174
       4441.9367     0.855403
       4441.9663     0.863590
       4441.9960     0.916660
       4442.0256     0.931145
       4442.0552     0.842863
       4442.0849     0.787969
       4442.1145     0.820188
       4442.1441     0.847528
       4442.1738     0.824627
       4442.2034     0.827110
       4442.2330     0.836406
       4442.2627     0.862977
       4442.2923     0.885538
       4442.3219     0.890553
       4442.3516     0.900181
       4442.3812     0.867065
       4442.4109     0.862819
       4442.4405     0.925927
       4442.4701     0.945100
       4442.4998     0.934364
       4442.5294     0.990858
       4442.5590      1.03543
       4442.5887      1.00070
       4442.6183     0.970274
       4442.6480     0.997485
       4442.6776     0.990241
       4442.7072     0.995054
       4442.7369      1.02412
       4442.7665      1.00875
       4442.7961      1.01475
       4442.8258      1.01419
       4442.8554      1.03737
       4442.8851     0.999919
       4442.9147     0.969734
       4442.9443     0.936432
       4442.9740     0.935295
       4443.0036     0.942987
       4443.0333     0.929695
       4443.0629     0.903118
       4443.0926     0.900285
       4443.1222     0.892121
       4443.1518     0.881304
       4443.1815     0.861050
       4443.2111     0.817775
       4443.2408     0.789618
       4443.2704     0.788107
       4443.3000     0.777753
       4443.3297     0.763017
       4443.3593     0.762238
       4443.3890     0.782665
       4443.4186     0.777576
       4443.4483     0.681806
       4443.4779     0.628831
       4443.5075     0.679213
       4443.5372     0.688008
       4443.5668     0.669713
       4443.5965     0.626764
       4443.6261     0.718691
       4443.6558     0.725651
       4443.6854     0.708282
       4443.7151     0.713995
       4443.7447     0.751108
       4443.7743     0.787654
       4443.8040     0.847166
       4443.8336     0.923480
       4443.8633     0.939064
       4443.8929     0.922391
       4443.9226     0.908440
       4443.9522     0.919604
       4443.9819     0.945022
       4444.0115     0.941996
       4444.0412     0.940472
       4444.0708     0.952313
       4444.1005      1.01804
       4444.1301      1.03599
       4444.1598      1.00029
       4444.1894     0.941269
       4444.2191     0.941788
       4444.2487     0.961358
       4444.2784      1.00679
       4444.3080      1.03848
       4444.3377      1.01445
       4444.3673     0.992789
       4444.3970      1.01238
       4444.4266     0.996807
       4444.4563     0.994672
       4444.4859      1.02895
       4444.5156      1.02572
       4444.5452     0.992860
       4444.5749     0.990070
       4444.6045      1.01789
       4444.6342      1.01879
       4444.6638     0.995118
       4444.6935     0.983634
       4444.7231      1.00474
       4444.7528      1.03622
       4444.7824      1.03532
       4444.8121      1.03958
       4444.8417      1.02690
       4444.8714      1.03790
       4444.9010      1.04977
       4444.9307      1.06739
       4444.9603      1.04995
       4444.9900      1.02488
       4445.0196      1.03824
       4445.0493      1.00239
       4445.0789      1.04352
       4445.1086     0.949306
       4445.1383     0.935551
       4445.1679     0.923851
       4445.1976     0.956267
       4445.2272     0.953577
       4445.2569      1.01223
       4445.2865      1.03926
       4445.3162      1.01605
       4445.3458     0.998615
       4445.3755     0.984514
       4445.4052     0.972193
       4445.4348     0.999746
       4445.4645      1.02605
       4445.4941     0.986769
       4445.5238     0.943191
       4445.5534     0.948646
       4445.5831     0.996934
       4445.6128      1.02660
       4445.6424      1.01643
       4445.6721     0.991616
       4445.7017     0.991068
       4445.7314      1.03400
       4445.7611      1.04706
       4445.7907      1.04540
       4445.8204      1.05629
       4445.8500      1.03091
       4445.8797      1.03561
       4445.9093      1.05655
       4445.9390      1.04187
       4445.9687      1.00800
       4445.9983      1.02019
       4446.0280      1.02303
       4446.0577      1.03197
       4446.0873      1.01179
       4446.1170      1.00730
       4446.1466      1.03767
       4446.1763      1.07048
       4446.2060      1.08968
       4446.2356      1.04398
       4446.2653     0.987888
       4446.2949      1.02598
       4446.3246      1.02709
       4446.3543      1.01777
       4446.3839      1.03116
       4446.4136      1.03660
       4446.4433      1.02258
       4446.4729     0.967104
       4446.5026     0.999923
       4446.5323      1.00465
       4446.5619     0.983795
       4446.5916     0.943690
       4446.6212     0.918821
       4446.6509     0.958984
       4446.6806      1.00070
       4446.7102     0.951837
       4446.7399     0.915172
       4446.7696     0.961180
       4446.7992      1.02197
       4446.8289      1.03239
       4446.8586      1.01735
       4446.8882     0.992225
       4446.9179     0.957049
       4446.9476     0.919823
       4446.9772     0.927585
       4447.0069      1.01820
       4447.0366      1.05914
       4447.0662     0.999915
       4447.0959      1.00245
       4447.1256      1.03247
       4447.1552      1.00172
       4447.1849      1.01416
       4447.2146      1.05249
       4447.2442      1.02739
       4447.2739     0.998145
       4447.3036      1.02245
       4447.3333      1.01845
       4447.3629     0.968129
       4447.3926     0.955649
       4447.4223      1.00275
       4447.4519     0.987600
       4447.4816     0.979936
       4447.5113      1.00096
       4447.5409      1.00445
       4447.5706      1.01840
       4447.6003      1.03899
       4447.6300      1.01719
       4447.6596     0.999112
       4447.6893      1.01292
       4447.7190      1.02217
       4447.7486      1.04710
       4447.7783      1.07137
       4447.8080      1.06009
       4447.8377      1.02617
       4447.8673      1.02245
       4447.8970      1.06501
       4447.9267      1.04415
       4447.9564      1.01477
       4447.9860     0.951082
       4448.0157     0.948541
       4448.0454     0.935950
       4448.0751     0.970013
       4448.1047     0.971227
       4448.1344     0.945327
       4448.1641     0.954231
       4448.1937     0.969242
       4448.2234     0.969832
       4448.2531     0.960061
       4448.2828     0.986416
       4448.3125      1.02210
       4448.3421      1.05648
       4448.3718      1.03760
       4448.4015     0.964252
       4448.4312     0.931405
       4448.4608     0.950736
       4448.4905     0.962564
       4448.5202     0.980009
       4448.5499      1.00129
       4448.5795     0.982650
       4448.6092     0.981316
       4448.6389      1.01296
       4448.6686      1.00842
       4448.6983     0.970003
       4448.7279     0.936894
       4448.7576     0.948464
       4448.7873     0.998391
       4448.8170      1.00496
       4448.8467     0.967350
       4448.8763     0.980924
       4448.9060     0.991542
       4448.9357     0.945798
       4448.9654     0.950081
       4448.9951     0.972494
       4449.0247     0.958861
       4449.0544     0.971579
       4449.0841      1.00138
       4449.1138      1.02491
       4449.1435      1.02191
       4449.1731     0.993685
       4449.2028     0.973044
       4449.2325     0.978631
       4449.2622     0.981997
       4449.2919     0.962011
       4449.3215     0.998052
       4449.3512      1.02406
       4449.3809      1.05925
       4449.4106      1.03287
       4449.4403      1.04475
       4449.4700     0.962001
       4449.4996     0.969284
       4449.5293     0.909381
       4449.5590     0.924786
       4449.5887     0.930445
       4449.6184     0.966927
       4449.6481     0.978297
       4449.6778      1.03887
       4449.7074      1.02561
       4449.7371     0.999264
       4449.7668     0.960768
       4449.7965     0.968420
       4449.8262     0.994111
       4449.8559     0.982793
       4449.8856     0.974249
       4449.9152     0.984578
       4449.9449     0.988455
       4449.9746      1.00893
       4450.0043      1.03880
       4450.0340      1.01750
       4450.0637     0.980335
       4450.0934     0.989832
       4450.1231     0.980713
       4450.1527     0.960854
       4450.1824     0.928303
       4450.2121     0.914424
       4450.2418     0.862986
       4450.2715     0.802397
       4450.3012     0.818234
       4450.3309     0.760061
       4450.3606     0.724893
       4450.3903     0.696921
       4450.4199     0.633771
       4450.4496     0.626696
       4450.4793     0.608414
       4450.5090     0.540009
       4450.5387     0.476849
       4450.5684     0.435161
       4450.5981     0.419910
       4450.6278     0.409164
       4450.6575     0.372329
       4450.6872     0.337134
       4450.7169     0.322791
       4450.7465     0.295598
       4450.7762     0.259889
       4450.8059     0.248392
       4450.8356     0.257867
       4450.8653     0.286655
       4450.8950     0.284263
       4450.9247     0.248231
       4450.9544     0.225052
       4450.9841     0.188826
       4451.0138     0.195606
       4451.0435     0.248649
       4451.0732     0.278399
       4451.1029     0.255446
       4451.1326     0.277970
       4451.1623     0.202929
       4451.1920     0.171316
       4451.2216     0.169592
       4451.2513     0.170314
       4451.2810     0.149736
       4451.3107     0.131081
       4451.3404     0.142131
       4451.3701     0.132531
       4451.3998     0.139797
       4451.4295     0.140641
       4451.4592     0.128084
       4451.4889     0.117245
       4451.5186    0.0937761
       4451.5483    0.0913014
       4451.5780    0.0899649
       4451.6077     0.115458
       4451.6374     0.116827
       4451.6671     0.127869
       4451.6968    0.0851922
       4451.7265    0.0779411
       4451.7562    0.0808984
       4451.7859     0.105128
       4451.8156    0.0984382
       4451.8453    0.0473808
       4451.8750    0.0505460
       4451.9047    0.0687959
       4451.9344    0.0774212
       4451.9641    0.0858782
       4451.9938    0.0616690
       4452.0235    0.0418827
       4452.0532    0.0883454
       4452.0829     0.109833
       4452.1126     0.108619
       4452.1423     0.103127
       4452.1720    0.0877097
       4452.2017     0.102926
       4452.2314     0.120967
       4452.2611     0.111805
       4452.2908     0.126537
       4452.3205     0.135349
       4452.3502     0.106541
       4452.3799    0.0979436
       4452.4096    0.0749170
       4452.4393    0.0592112
       4452.4690    0.0485789
       4452.4987    0.0274185
       4452.5284    0.0505604
       4452.5581    0.0654903
       4452.5878     0.102176
       4452.6175     0.159188
       4452.6473     0.113805
       4452.6770    0.0890977
       4452.7067    0.0909996
       4452.7364    0.0631338
       4452.7661    0.0381703
       4452.7958    0.0286067
       4452.8255    0.0493838
       4452.8552    0.0616871
       4452.8849    0.0736829
       4452.9146    0.0699508
       4452.9443    0.0631416
       4452.9740    0.0769974
       4453.0037    0.0724576
       4453.0334    0.0553288
       4453.0631    0.0831471
       4453.0928     0.113355
       4453.1226    0.0899844
       4453.1523    0.0505897
       4453.1820    0.0181985
       4453.2117    0.0320295
       4453.2414    0.0814164
       4453.2711    0.0859575
       4453.3008    0.0776543
       4453.3305    0.0748921
       4453.3602    0.0771530
       4453.3899    0.0568460
       4453.4196    0.0374338
       4453.4494    0.0596095
       4453.4791    0.0735446
       4453.5088    0.0536446
       4453.5385    0.0630868
       4453.5682    0.0500141
       4453.5979    0.0509575
       4453.6276    0.0726018
       4453.6573    0.0513742
       4453.6870    0.0415783
       4453.7168    0.0628995
       4453.7465    0.0757123
       4453.7762    0.0651707
       4453.8059    0.0599525
       4453.8356    0.0687207
       4453.8653    0.0588581
       4453.8950    0.0300020
       4453.9247  6.23093e-05
       4453.9545    0.0230052
       4453.9842    0.0185889
       4454.0139   -0.0257075
       4454.0436  -0.00104803
       4454.0733    0.0445285
       4454.1030    0.0950107
       4454.1327    0.0926679
       4454.1625    0.0755026
       4454.1922    0.0563836
       4454.2219    0.0819410
       4454.2516    0.0464065
       4454.2813    0.0360358
       4454.3110    0.0634940
       4454.3408    0.0756601
       4454.3705    0.0769302
       4454.4002    0.0703289
       4454.4299    0.0387507
       4454.4596    0.0605765
       4454.4893     0.104652
       4454.5191     0.134733
       4454.5488     0.172678
       4454.5785     0.198108
       4454.6082     0.226065
       4454.6379     0.273922
       4454.6676     0.289306
       4454.6974     0.317046
       4454.7271     0.359171
       4454.7568     0.406714
       4454.7865     0.457036
       4454.8162     0.510587
       4454.8460     0.513366
       4454.8757     0.522992
       4454.9054     0.549048
       4454.9351     0.567591
       4454.9648     0.590911
       4454.9946     0.627310
       4455.0243     0.590275
       4455.0540     0.574360
       4455.0837     0.549259
       4455.1134     0.562159
       4455.1432     0.568065
       4455.1729     0.575827
       4455.2026     0.584336
       4455.2323     0.595323
       4455.2620     0.588133
       4455.2918     0.575177
       4455.3215     0.576947
       4455.3512     0.569383
       4455.3809     0.567886
       4455.4107     0.587084
       4455.4404     0.575465
       4455.4701     0.555512
       4455.4998     0.562759
       4455.5296     0.609097
       4455.5593     0.653652
       4455.5890     0.626375
       4455.6187     0.578696
       4455.6485     0.616059
       4455.6782     0.663736
       4455.7079     0.629687
       4455.7376     0.645527
       4455.7674     0.653889
       4455.7971     0.706109
       4455.8268     0.726697
       4455.8565     0.759036
       4455.8863     0.760616
       4455.9160     0.800070
       4455.9457     0.792994
       4455.9754     0.778593
       4456.0052     0.801292
       4456.0349     0.819304
       4456.0646     0.843069
       4456.0943     0.896612
       4456.1241     0.945457
       4456.1538     0.939300
       4456.1835     0.909762
       4456.2133     0.912271
       4456.2430     0.907869
       4456.2727     0.906406
       4456.3024     0.943190
       4456.3322     0.962716
       4456.3619     0.962815
       4456.3916     0.982844
       4456.4214     0.967695
       4456.4511     0.978381
       4456.4808     0.972667
       4456.5106     0.985898
       4456.5403     0.997891
       4456.5700      1.00182
       4456.5998      1.00432
       4456.6295      1.00198
       4456.6592      1.05778
       4456.6889      1.05398
       4456.7187      1.04575
       4456.7484      1.00840
       4456.7781     0.993324
       4456.8079      1.00843
       4456.8376      1.01341
       4456.8673      1.00194
       4456.8971      1.01584
       4456.9268      1.04281
       4456.9565      1.03220
       4456.9863      1.02216
       4457.0160      1.04140
       4457.0457      1.02022
       4457.0755     0.986474
       4457.1052     0.993551
       4457.1349      1.01400
       4457.1647      1.01202
       4457.1944     0.946136
       4457.2242     0.982771
       4457.2539      1.00929
       4457.2836      1.04518
       4457.3134      1.05116
       4457.3431     0.960346
       4457.3728      1.02515
       4457.4026      1.00727
       4457.4323     0.982771
